Symbol,Company Name,Listing Date,ipo_raised_fund,ipo_price,1d_price_movement_after_listed,7d_price_movement_after_listed,30d_price_movement_after_listed,180d_price_movement_after_listed,365d_price_movement_after_listed,underwriter
ENAK,PT Champ Resto Indonesia Tbk,08-Feb-22,368333000,850,-3,-13,-6,122,44,UOB KAY HIAN SEKURITAS (AI)
NTBK,PT Nusatama Berkah Tbk,09-Feb-22,70000000,100,35,3,-33,-50,-50,DANATAMA MAKMUR SEKURITAS (II); SURYA FAJAR SEKURITAS
ADCP,PT Adhi Commuter Properti Tbk,23-Feb-22,288889000,130,-6,-28,-28,-42,-49,CIMB NIAGA SEKURITAS; MIRAE ASSET SEKURITAS INDONESIA (YP); MAYBANK SEKURITAS INDONESIA; SUCOR SEKURITAS (AZ); INDOSURYA BERSINAR SEKURITAS (IP); PANIN SEKURITAS TBK. (GR); YULIE SEKURITAS INDONESIA TBK (RS)
SMKM,PT Sumber Mas Konstruksi Tbk,09-Mar-22,66000000,264,-10,-33,-2,-7,213,ERDIKHA ELIT SEKURITAS (AO)
STAA,PT Sumber Tani Agung Resources Tbk,10-Mar-22,542024000,600,25,36,52,93,67,CIMB NIAGA SEKURITAS; DBS VICKERS SEKURITAS INDONESIA (DP)
NANO,PT Nanotech Indonesia Global Tbk,10-Mar-22,128500000,100,10,60,-11,-49,-74,UOB KAY HIAN SEKURITAS (AI)
BIKE,PT Sepeda Bersama Indonesia Tbk,21-Mar-22,54967000,170,34,38,1,41,22,TRIMEGAH SEKURITAS INDONESIA TBK. (LG); MIRAE ASSET SEKURITAS INDONESIA (YP); NH KORINDO SEKURITAS INDONESIA (XA)
WIRG,PT WIR ASIA Tbk,04-Apr-22,431894000,168,35,227,555,152,-11,CIPTADANA SEKURITAS ASIA (KI)
SICO,PT Sigma Energy Compressindo Tbk,08-Apr-22,62100000,230,10,-16,-32,-21,-40,NH KORINDO SEKURITAS INDONESIA (XA)
GOTO,PT GoTo Gojek Tokopedia Tbk,11-Apr-22,13727889000,338,13,12,-30,-28,-72,INDO PREMIER SEKURITAS (PD); MANDIRI SEKURITAS (CC); TRIMEGAH SEKURITAS INDONESIA TBK. (LG); NILAI INTI SEKURITAS (RO); CIMB NIAGA SEKURITAS; CREDIT SUISSE SEKURITAS INDONESIA (CS); CLSA SEKURITAS INDONESIA (KZ); DEUTSCHE SEKURITAS INDONESIA (DB); ALDIRACITA SEKURITAS INDONESIA (PP); BNI SEKURITAS (NI); PANIN SEKURITAS TBK. (GR); SUCOR SEKURITAS (AZ); KB VALBURY SEKURITAS (CP)
TLDN,PT Teladan Prima Agro Tbk,12-Apr-22,300359000,580,6,1,17,0,-14,BNI SEKURITAS (NI); CIMB NIAGA SEKURITAS
MTMH,PT Murni Sadar Tbk,20-Apr-22,325149000,1280,25,21,27,51,18,BCA SEKURITAS (SQ); CIPTADANA SEKURITAS ASIA (KI)
IBOS,PT Indo Boga Sukses Tbk,25-Apr-22,160736000,100,10,18,21,-8,152,NH KORINDO SEKURITAS INDONESIA (XA); SURYA FAJAR SEKURITAS
WINR,PT Winner Nusantara Jaya Tbk,25-Apr-22,150000000,100,35,112,76,-50,-50,AARTHA SEKURITAS INDONESIA (SH); MIRAE ASSET SEKURITAS INDONESIA (YP); PANCA GLOBAL SEKURITAS (PG); YUANTA SEKURITAS INDONESIA (FS)
OLIV,PT Oscar Mitra Sukses Sejahtera Tbk,17-May-22,40000000,100,1,0,1,-70,-79,DANATAMA MAKMUR SEKURITAS (II)
ASHA,PT Cilacap Samudera Fishing Industry Tbk,27-May-22,125000000,100,35,280,86,35,-4,KGI SEKURITAS INDONESIA (HD); KOREA INVESTMENT AND SEKURITAS INDONESIA
SWID,PT Saraswanti Indoland Development Tbk,07-Jul-22,68000000,200,8,-19,-28,-50,-60,SHINHAN SEKURITAS INDONESIA (AH)
CHEM,PT Chemstar Indonesia Tbk,08-Jul-22,75000000,150,3,-17,-18,-6,-29,NH KORINDO SEKURITAS INDONESIA (XA)
ARKO,PT Arkora Hydro Tbk,08-Jul-22,182669000,300,-7,5,98,88,113,LOTUS ANDALAN SEKURITAS (YJ); MIRAE ASSET SEKURITAS INDONESIA (YP)
TRGU,PT Cerestar Indonesia Tbk,08-Jul-22,315000000,210,25,124,62,5,2,SEMESTA INDOVEST SEKURITAS (MG)
DEWI,PT Dewi Shri Farmindo Tbk,18-Jul-22,70000000,100,35,48,78,124,-32,KGI SEKURITAS INDONESIA (HD); BINAARTHA SEKURITAS (AR)
AXIO,PT Tera Data Indonusa Tbk,20-Jul-22,145618000,140,35,54,103,43,-4,BNI SEKURITAS (NI); CIMB NIAGA SEKURITAS
KRYA,PT Bangun Karya Perkasa Jaya Tbk,25-Jul-22,40625000,125,-6,-18,73,196,-35,INDO CAPITAL SEKURITAS
HATM,PT Habco Trans Maritima Tbk,26-Jul-22,140000000,160,2,18,181,81,33,NH KORINDO SEKURITAS INDONESIA (XA)
RCCC,PT Utama Radar Cahaya Tbk,02-Aug-22,20250000,135,-10,6,-15,-1,13,ELIT SUKSES SEKURITAS
GULA,PT Aman Agrindo Tbk,03-Aug-22,53518000,250,2,-9,-16,78,34,UOB KAY HIAN SEKURITAS (AI)
AMMS,PT Agung Menjangan Mas Tbk,04-Aug-22,24000000,100,5,8,35,-59,-63,INDO CAPITAL SEKURITAS
JARR,PT Jhonlin Agro Raya Tbk,04-Aug-22,366885000,300,25,68,46,-8,-39,INVESTINDO NUSANTARA SEKURITAS (IN); PANCA GLOBAL SEKURITAS (PG); BINAARTHA SEKURITAS (AR); LOTUS ANDALAN SEKURITAS (YJ)
RAFI,PT Sari Kreasi Boga Tbk,05-Aug-22,119459000,126,35,39,84,-8,-49,INVESTINDO NUSANTARA SEKURITAS (IN); KB VALBURY SEKURITAS (CP)
KKES,PT Kusuma Kemindo Sentosa Tbk,08-Aug-22,31500000,105,21,13,62,-10,-49,MIRAE ASSET SEKURITAS INDONESIA (YP)
EURO,PT Estee Gold Feet Tbk,08-Aug-22,35000000,70,0,0,0,417,217,DANATAMA MAKMUR SEKURITAS (II)
MORA,PT Mora Telematika Indonesia,08-Aug-22,1000084000,396,25,46,48,10,18,BNI SEKURITAS (NI); SUCOR SEKURITAS (AZ)
ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk,08-Aug-22,222400000,200,35,37,14,3,16,TRIMEGAH SEKURITAS INDONESIA TBK. (LG)
KLIN,PT Klinko Karya Imaji Tbk,09-Aug-22,23000000,100,-10,-26,-44,-69,-54,ELIT SUKSES SEKURITAS
TOOL,PT Rohartindo Nusantara Luas Tbk,09-Aug-22,52070000,127,35,9,-14,-41,-54,MIRAE ASSET SEKURITAS INDONESIA (YP)
BUAH,PT Segar Kumala Indonesia Tbk,09-Aug-22,77600000,388,25,20,61,178,272,RELIANCE SEKURITAS INDONESIA TBK. (LS)
CRAB,PT Toba Surimi Industries Tbk,10-Aug-22,58500000,150,35,56,59,41,59,KGI SEKURITAS INDONESIA (HD)
MEDS,PT Hetzer Medical Indonesia Tbk,10-Aug-22,39063000,125,34,127,114,0,-38,WANTEG SEKURITAS (AN)
COAL,PT Black Diamond Resources Tbk,07-Sep-22,125000000,100,35,280,354,36,-45,SURYA FAJAR SEKURITAS
BSBK,PT Wulandari Bangun Laksana Tbk,08-Nov-22,275000000,100,35,170,140,-50,-50,KGI SEKURITAS INDONESIA (HD); PANCA GLOBAL SEKURITAS (PG); YUANTA SEKURITAS INDONESIA (FS); AARTHA SEKURITAS INDONESIA (SH)
CBUT,PT Citra Borneo Utama Tbk,08-Nov-22,431250000,690,25,21,88,180,197,BRI DANAREKSA SEKURITAS (OD); MAYBANK SEKURITAS INDONESIA; MIRAE ASSET SEKURITAS INDONESIA (YP); UOB KAY HIAN SEKURITAS (AI)
MKTR,PT Menthobi Karyatama Raya Tbk,08-Nov-22,300000000,120,8,9,4,73,3,DANATAMA MAKMUR SEKURITAS (II); KB VALBURY SEKURITAS (CP); WANTEG SEKURITAS (AN)
BELI,PT Global Digital Niaga Tbk,08-Nov-22,7997043000,450,0,5,6,1,4,BCA SEKURITAS (SQ); BRI DANAREKSA SEKURITAS (OD); DBS VICKERS SEKURITAS INDONESIA (DP); MORGAN STANLEY SEKURITAS INDONESIA (MS); DBS VICKERS SEKURITAS INDONESIA (DP); MANDIRI SEKURITAS (CC); BNI SEKURITAS (NI); INDO PREMIER SEKURITAS (PD); KB VALBURY SEKURITAS (CP); YULIE SEKURITAS INDONESIA TBK (RS); DANASAKTI SEKURITAS INDONESIA (PF)
PRAY,PT Famon Awal Bros Sedaya Tbk,08-Nov-22,272000000,900,-1,-16,-18,-19,-23,INDO PREMIER SEKURITAS (PD)
OMED,PT Jayamas Medica Industri Tbk,08-Nov-22,828005000,204,24,26,17,-3,3,CLSA SEKURITAS INDONESIA (KZ); CIMB NIAGA SEKURITAS; CIPTADANA SEKURITAS ASIA (KI)
KDTN,PT Puri Sentul Permai Tbk,09-Nov-22,37500000,150,26,7,-8,-10,-30,VICTORIA SEKURITAS INDONESIA (MI)
PDPP,PT Primadaya Plastisindo Tbk,09-Nov-22,100000000,200,35,16,1,45,56,SEMESTA INDOVEST SEKURITAS (MG)
ZATA,PT Bersama Zatta Jaya Tbk,10-Nov-22,170000000,100,35,182,31,-50,-50,UOB KAY HIAN SEKURITAS (AI)
KETR,PT Ketrosden Triasmitra Tbk,10-Nov-22,127860000,300,7,-6,-25,-39,-23,SHINHAN SEKURITAS INDONESIA (AH)
NINE,PT Techno9 Indonesia Tbk,05-Dec-22,32400000,75,-8,-37,-39,-59,-87,VICTORIA SEKURITAS INDONESIA (MI); ELIT SUKSES SEKURITAS
MMIX,PT Multi Medika Internasional Tbk,06-Dec-22,114000000,190,35,27,71,29,-11,MIRAE ASSET SEKURITAS INDONESIA (YP)
PADA,PT Personel Alih Daya Tbk,08-Dec-22,90000000,100,10,10,144,-19,-50,UOB KAY HIAN SEKURITAS (AI); ERDIKHA ELIT SEKURITAS (AO)
ISAP,PT Isra Presisi Indonesia Tbk,09-Dec-22,145920000,96,-9,-26,17,-69,-89,UOB KAY HIAN SEKURITAS (AI)
VTNY,PT Venteny Fortuna International Tbk,15-Dec-22,338320000,360,10,12,18,1,-27,BRI DANAREKSA SEKURITAS (OD); SURYA FAJAR SEKURITAS; MIRAE ASSET SEKURITAS INDONESIA (YP); MEGA CAPITAL SEKURITAS (CD)
ELIT,PT Data Sinergitama Jaya Tbk,06-Jan-23,60000000,120,-7,41,13,10,-24,NH KORINDO SEKURITAS INDONESIA (XA)
CBPE,PT Citra Buana Prasida Tbk,06-Jan-23,40688000,150,-1,19,-1,-11,-14,PANIN SEKURITAS TBK. (GR)
BEER,PT Jobubu Jarum Minahasa Tbk,06-Jan-23,176000000,220,17,25,66,54,30,UOB KAY HIAN SEKURITAS (AI)
SOUL,PT Mitra Tirta Buwana Tbk,06-Jan-23,29700000,110,-10,-36,-59,-78,-80,SHINHAN SEKURITAS INDONESIA (AH); WANTEG SEKURITAS (AN)
CBRE,PT Cakra Buana Resources Energi Tbk,09-Jan-23,79704000,108,34,47,-17,-54,-54,RHB SEKURITAS INDONESIA (DR); KGI SEKURITAS INDONESIA (HD)
SUNI,PT Sunindo Pratama Tbk,09-Jan-23,180000000,300,0,1,-1,-7,23,UOB KAY HIAN SEKURITAS (AI)
WINE,PT Hatten Bali Tbk,10-Jan-23,87462000,129,35,134,185,357,213,NH KORINDO SEKURITAS INDONESIA (XA)
BMBL,PT Lavender Bina Cendikia Tbk,11-Jan-23,52640000,188,-10,-40,-65,-70,-88,MIRAE ASSET SEKURITAS INDONESIA (YP); KGI SEKURITAS INDONESIA (HD)
PEVE,PT Penta Valent Tbk,24-Jan-23,52616000,149,34,48,32,16,17,LOTUS ANDALAN SEKURITAS (YJ)
LAJU,PT Jasa Berdikari Logistics Tbk,27-Jan-23,70000000,100,35,41,144,-36,,NH KORINDO SEKURITAS INDONESIA (XA)
FWCT,PT Wijaya Cahaya Timber Tbk,01-Feb-23,44250000,118,35,2,-7,-56,,LOTUS ANDALAN SEKURITAS (YJ)
NAYZ,PT Hassana Boga Sejahtera Tbk,06-Feb-23,51000000,100,-10,-28,-3,-74,,SURYA FAJAR SEKURITAS
IRSX,PT Aviana Sinar Abadi Tbk,07-Feb-23,101000000,101,2,-7,-9,4,,SHINHAN SEKURITAS INDONESIA (AH)
PACK,PT Solusi Kemasan Digital Tbk,08-Feb-23,49896000,162,-10,-37,-33,4,,NH KORINDO SEKURITAS INDONESIA (XA)
CHIP,PT Pelita Teknologi Global Tbk,08-Feb-23,32000000,160,10,44,322,888,,LOTUS ANDALAN SEKURITAS (YJ)
VAST,PT Vastland Indonesia Tbk,08-Feb-23,70200000,108,-6,0,-8,-36,,ERDIKHA ELIT SEKURITAS (AO)
HALO,PT Haloni Jane Tbk,08-Feb-23,113000000,100,17,19,17,-20,,DANATAMA MAKMUR SEKURITAS (II); KB VALBURY SEKURITAS (CP)
KING,PT Hoffmen Cleanindo Tbk,16-Feb-23,67600000,130,-10,-12,32,4,,NH KORINDO SEKURITAS INDONESIA (XA)
PGEO,PT Pertamina Geothermal Energy Tbk,24-Feb-23,9056250000,875,0,-1,-9,19,,CLSA SEKURITAS INDONESIA (KZ); CREDIT SUISSE SEKURITAS INDONESIA (CS); MANDIRI SEKURITAS (CC); HSBC SEKURITAS INDONESIA (GW); BAHANA SEKURITAS (DX); DANASAKTI SEKURITAS INDONESIA (PF); SAMUEL SEKURITAS INDONESIA (IF)
FUTR,PT Lini Imaji Kreasi Ekosistem Tbk,27-Feb-23,127800000,100,0,42,21,-50,,INDO CAPITAL SEKURITAS; KGI SEKURITAS INDONESIA (HD)
HILL,PT Hillcon Tbk,01-Mar-23,552875000,1250,6,26,62,132,,MIRAE ASSET SEKURITAS INDONESIA (YP); SUCOR SEKURITAS (AZ); MACQUARIE SEKURITAS INDONESIA (RX)
BDKR,PT Berdikari Pondasi Perkasa Tbk,03-Mar-23,141220000,200,15,29,28,153,,SEMESTA INDOVEST SEKURITAS (MG)
PTMP,PT Mitra Pack Tbk,06-Mar-23,96000000,120,19,13,77,14,,NH KORINDO SEKURITAS INDONESIA (XA)
TRON,PT Teknologi Karya Digital Nusa Tbk,08-Mar-23,135000000,180,31,50,53,64,,SURYA FAJAR SEKURITAS
SAGE,PT Saausaha Gemilangindah Tbk,08-Mar-23,161000000,100,35,40,272,-50,,DANATAMA MAKMUR SEKURITAS (II); AARTHA SEKURITAS INDONESIA (SH)
CUAN,PT Petrindo Jaya Kreasi Tbk,08-Mar-23,371800000,220,25,200,309,991,,HENAN PUTIHRAI SEKURITAS (HP); BRI DANAREKSA SEKURITAS (OD)
NSSS,PT Nusantara Sawit Sejahtera Tbk,10-Mar-23,453166000,127,6,3,14,52,,SAMUEL SEKURITAS INDONESIA (IF); BRI DANAREKSA SEKURITAS (OD); SUCOR SEKURITAS (AZ); MIRAE ASSET SEKURITAS INDONESIA (YP); YULIE SEKURITAS INDONESIA TBK (RS); PHILLIP SEKURITAS INDONESIA (KK); DANASAKTI SEKURITAS INDONESIA (PF)
GTRA,PT Grahaprima Suksesmandiri Tbk,30-Mar-23,56831000,150,35,85,77,39,,UOB KAY HIAN SEKURITAS (AI)
HAJJ,PT Arsy Buana Travelindo Tbk,05-Apr-23,96194000,140,10,25,211,9,,SURYA FAJAR SEKURITAS
PIPA,PT Multi Makmur Lemindo Tbk,10-Apr-23,97125000,105,34,60,1,-52,,SHINHAN SEKURITAS INDONESIA (AH)
NCKL,PT Trimegah Bangun Persada Tbk,12-Apr-23,9997000000,1250,4,16,-10,-21,,BNP PARIBAS SECURITIES INDONESIA (BW); CITIGROUP SEKURITAS INDONESIA (CG); CREDIT SUISSE SEKURITAS INDONESIA (CS); MANDIRI SEKURITAS (CC); DBS VICKERS SEKURITAS INDONESIA (DP); OCBC SEKURITAS INDONESIA (TP); UOB KAY HIAN SEKURITAS (AI)
MBMA,PT Merdeka Battery Materials Tbk,18-Apr-23,9182250000,795,11,1,-1,-10,,INDO PREMIER SEKURITAS (PD); TRIMEGAH SEKURITAS INDONESIA TBK. (LG); UBS SEKURITAS INDONESIA (AK); MACQUARIE SEKURITAS INDONESIA (RX); SUCOR SEKURITAS (AZ); ALDIRACITA SEKURITAS INDONESIA (PP); CIPTADANA SEKURITAS ASIA (KI)
MENN,PT Menn Teknologi Indonesia Tbk,18-Apr-23,33556000,78,-9,-31,-45,42,,INDO CAPITAL SEKURITAS; KGI SEKURITAS INDONESIA (HD)
AWAN,PT Era Digital Media Tbk,18-Apr-23,75000000,100,35,212,152,134,,SAMUEL SEKURITAS INDONESIA (IF); SUCOR SEKURITAS (AZ)
JATI,PT Informasi Teknologi Indonesia Tbk,08-May-23,65250000,100,35,114,45,-28,,KGI SEKURITAS INDONESIA (HD); SHINHAN SEKURITAS INDONESIA (AH)
RAAM,PT Tripar Multivision Plus Tbk,08-May-23,217433000,234,25,201,225,105,,UOB KAY HIAN SEKURITAS (AI); SUCOR SEKURITAS (AZ)
TYRE,PT King Tire Indonesia Tbk,08-May-23,96600000,138,35,2,-11,-12,,VICTORIA SEKURITAS INDONESIA (MI)
DOOH,PT Era Media Sejahtera Tbk,08-May-23,154750000,100,5,-1,-48,60,,INDO CAPITAL SEKURITAS; KGI SEKURITAS INDONESIA (HD)
MPXL,PT MPX Logistics International Tbk,09-May-23,43200000,108,34,14,15,59,,PANIN SEKURITAS TBK. (GR)
SMIL,PT Sarana Mitra Luas Tbk,12-May-23,175000000,100,35,48,43,26,,MNC SEKURITAS (EP); KB VALBURY SEKURITAS (CP); ERDIKHA ELIT SEKURITAS (AO)
KLAS,PT Pelayaran Kurnia Lautan Semesta Tbk,12-Jun-23,78840000,146,35,-9,-29,-39,,PANIN SEKURITAS TBK. (GR)
MAXI,PT Maxindo Karya Anugerah Tbk,12-Jun-23,100000000,100,-15,-42,-39,-50,,SHINHAN SEKURITAS INDONESIA (AH)
VKTR,PT VKTR Teknologi Mobilitas Tbk,19-Jun-23,875000000,100,11,15,30,15,,SAMUEL SEKURITAS INDONESIA (IF); CIPTADANA SEKURITAS ASIA (KI); TRIMEGAH SEKURITAS INDONESIA TBK. (LG)
RELF,PT Graha Mitra Asia Tbk,22-Jun-23,108000000,90,10,57,53,-71,,UOB KAY HIAN SEKURITAS (AI)
AMMN,PT Amman Mineral Internasional Tbk,07-Jul-23,10726314000,1695,4,4,69,282,,BNI SEKURITAS; MANDIRI SEKURITAS
TGUK,PT Platinum Wahab Nusantara Tbk,10-Jul-23,117857000,110,35,26,-10,-15,,SEMESTA INDOVEST SEKURITAS
WIDI,PT Widiant Jaya Krenindo Tbk,10-Jul-23,40000000,100,10,8,40,-56,,ARTHA SEKURITAS INDONESIA
CRSN,PT Carsurin Tbk,10-Jul-23,75000000,125,14,-10,-7,-2,,NH KORINDO SEKURITAS INDONESIA
GRPM,PT Graha Prima Mentari Tbk,10-Jul-23,37080000,120,-10,-30,-38,-60,,NH KORINDO SEKURITAS INDONESIA
INET,PT Sinergi Inti Andalan Prima Tbk,24-Jul-23,151500000,101,35,100,84,-31,,SHINHAN SEKURITAS INDONESIA
MAHA,PT Mandiri Herindo Adiperkasa Tbk,25-Jul-23,491588000,118,35,132,114,,,TRIMEGAH SEKURITAS INDONESIA TBK
RMKO,PT Royaltama Mulia Kontraktorindo Tbk,31-Jul-23,112500000,450,24,21,-17,,,VICTORIA SEKURITAS INDONESIA
CNMA,PT Nusantara Sejahtera Raya Tbk,02-Aug-23,2250450000,270,17,14,1,,,INDO PREMIER SEKURITAS; J.P. MORGAN SEKURITAS INDONESIA; MANDIRI SEKURITAS
FOLK,PT Multi Garam Utama Tbk,07-Aug-23,57000000,100,13,-15,-27,,,KGI SEKURITAS INDONESIA; SAMUEL SEKURITAS INDONESIA
HBAT,PT Minahasa Membangun Hebat Tbk,07-Aug-23,26000000,108,-9,-38,-49,,,LOTUS ANDALAN SEKURITAS
ERAL,PT Sinar Eka Selaras Tbk,08-Aug-23,404625000,390,3,-6,-5,,,MIRAE ASSET SEKURITAS INDONESIA; BNI SEKURITAS
CYBR,PT ITSEC Asia Tbk,08-Aug-23,100873000,100,35,132,66,,,MIRAE ASSET SEKURITAS INDONESIA
PPRI,PT Paperocks Indonesia Tbk,08-Aug-23,38500000,140,-15,-45,-41,,,INDO CAPITAL SEKURITAS
GRIA,PT Ingria Pratama Capitalindo Tbk,08-Aug-23,207000000,120,-2,-2,-5,,,ERDIKHA ELIT SEKURITAS
LMAX,PT Lupromax Pelumas Indonesia Tbk,09-Aug-23,39000000,200,10,46,0,,,SHINHAN SEKURITAS INDONESIA
HUMI,PT Humpuss Maritim Internasional Tbk,09-Aug-23,270700000,100,2,51,89,,,RELIANCE SEKURITAS INDONESIA TBK
MUTU,PT Mutuagung Lestari Tbk,09-Aug-23,101829000,108,34,23,69,,,TRIMEGAH SEKURITAS INDONESIA TBK
MSIE,PT Multisarana Intan Eduka Tbk,10-Aug-23,36000000,100,-10,-40,-58,,,MNC SEKURITAS
RSCH,PT Charlie Hospital Semarang Tbk,28-Aug-23,60950000,115,14,16,5,,,SHINHAN SEKURITAS INDONESIA
BABY,PT Multitrend Indo Tbk,07-Sep-23,142044000,266,9,-2,2,,,UOB KAY HIAN SEKURITAS
AEGS,PT Anugerah Spareparts Sejahtera Tbk,11-Sep-23,40000000,100,-5,-32,-41,,,SHINHAN SEKURITAS INDONESIA
IOTF,PT Sumber Sinergi Makmur Tbk,06-Oct-23,110000000,100,35,5,9,,,SHINHAN SEKURITAS INDONESIA
KOCI,PT Kokoh Exa Nusantara Tbk,06-Oct-23,54000000,120,-30,-43,-58,,,PANCA GLOBAL SEKURITAS
PTPS,PT Pulau Subur Tbk,09-Oct-23,89100000,198,-35,-47,-30,,,NH KORINDO SEKURITAS INDONESIA
BREN,PT Barito Renewables Energy Tbk,09-Oct-23,3131700000,780,25,203,464,,,BNI SEKURITAS
STRK,PT Lovina Beach Brewery Tbk,10-Oct-23,118000000,100,35,128,210,,,ARTHA SEKURITAS INDONESIA
LOPI,PT Logisticsplus International Tbk,11-Oct-23,30000000,100,-10,-14,-30,,,ELIT SUKSES SEKURITAS
KOKA,PT Koka Indonesia Tbk,11-Oct-23,91563000,128,33,-13,-52,,,UOB KAY HIAN SEKURITAS
UDNG,PT Agro Bahari Nusantara Tbk,31-Oct-23,50000000,100,10,-5,20,,,MNC SEKURITAS; KB VALBURY SEKURITAS
IKPM,PT Ikapharmindo Putramas Tbk,08-Nov-23,55594000,165,10,5,16,,,OCBC SEKURITAS INDONESIA
MSTI,PT Mastersystem Infotama Tbk,08-Nov-23,637966000,1355,7,2,0,,,INDO PREMIER SEKURITAS
RGAS,PT Kian Santang Muliatama Tbk,08-Nov-23,40104000,120,4,-8,-13,,,ERDIKHA ELIT SEKURITAS
AYAM,PT Janu Putra Sejahtera Tbk,30-Nov-23,80000000,100,35,11,10,,,UOB KAY HIAN SEKURITAS
SURI,PT Maja Agung Latexindo Tbk,07-Dec-23,215369000,170,-5,-4,-1,,,SHINHAN SEKURITAS INDONESIA
